********************************************************************************
product = WebSphere Application Server 19.0.0.3 (wlp-1.0.26.cl190320190321-1636)
wlp.install.dir = /opt/ibm/wlp/
server.config.dir = /home/default/app/mc-target/liberty/wlp/usr/servers/defaultServer/
java.home = /home/default/java/jre
java.version = 1.8.0_221
java.runtime = Java(TM) SE Runtime Environment (8.0.5.40 - pxa6480sr5fp40-20190807_01(SR5 FP40))
os = Linux (4.9.184-linuxkit; amd64) (en_US)
process = 319@ae08c72be9da
********************************************************************************
[9/21/19 15:25:06:639 UTC] 00000059 SystemOut                                                    O Main Player Level: 1
[9/21/19 15:25:06:640 UTC] 00000059 SystemOut                                                    O Enemy Level: 2
[9/21/19 15:25:06:642 UTC] 00000059 SystemOut                                                    O Attack creature!!!
[9/21/19 15:25:16:927 UTC] 00000058 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:16:929 UTC] 00000058 SystemOut                                                    O Main Player HP: 100
[9/21/19 15:25:16:930 UTC] 00000058 SystemOut                                                    O Main Player Level: 1
[9/21/19 15:25:16:932 UTC] 00000058 SystemOut                                                    O Enemy Level: 6
[9/21/19 15:25:16:933 UTC] 00000058 SystemOut                                                    O Main Player HP: 100
[9/21/19 15:25:16:935 UTC] 00000058 SystemOut                                                    O Main Player Level: 1
[9/21/19 15:25:16:936 UTC] 00000058 SystemOut                                                    O Enemy Level: 7
[9/21/19 15:25:16:937 UTC] 00000058 SystemOut                                                    O Main Player HP: 100
[9/21/19 15:25:16:939 UTC] 00000058 SystemOut                                                    O Main Player Level: 1
[9/21/19 15:25:16:940 UTC] 00000058 SystemOut                                                    O Enemy Level: 2
[9/21/19 15:25:16:942 UTC] 00000058 SystemOut                                                    O Attack creature!!!
[9/21/19 15:25:33:139 UTC] 00000041 SystemOut                                                    O [client: d5a56965-970e-4d82-9c89-6c863e6f687e][inter] [2977t] [Sep-21 15:25:33.139] ClientState was first informed that round is complete: 105519
[9/21/19 15:25:33:229 UTC] 00000066 SystemOut                                                    O Round is over, waiting 19 seconds.
[9/21/19 15:25:52:866 UTC] 00000041 SystemOut                                                    O close. CloseReason[1000]
[9/21/19 15:25:52:868 UTC] 00000041 SystemOut                                                    O [client: d5a56965-970e-4d82-9c89-6c863e6f687e][inter] [2977t] [Sep-21 15:25:52.868] Websocket session h6ZvHu4K7tZXcyDFkX4dV52 closed CloseReason[1000] with client instance 868af4ef-3129-4428-b0a9-98f65ce1f291
[9/21/19 15:25:52:992 UTC] 0000009c SystemOut                                                    O [client: d5a56965-970e-4d82-9c89-6c863e6f687e][inter] [2977t] [Sep-21 15:25:52.991] Attempting to connect
[9/21/19 15:25:53:071 UTC] 0000009c SystemOut                                                    O [client: d5a56965-970e-4d82-9c89-6c863e6f687e][inter] [2977t] [Sep-21 15:25:53.071] Websocket session 2bmA2TX6WbCEeaHzTXul_e_ opened with client instance 868af4ef-3129-4428-b0a9-98f65ce1f291
[9/21/19 15:25:53:129 UTC] 0000008f SystemOut                                                    O Update: Round is over, waiting for new round..
[9/21/19 15:25:53:136 UTC] 00000093 SystemOut                                                    O close. CloseReason[1000]
[9/21/19 15:25:53:139 UTC] 00000093 SystemOut                                                    O [client: d5a56965-970e-4d82-9c89-6c863e6f687e][inter] [2977t] [Sep-21 15:25:53.139] Websocket session 2bmA2TX6WbCEeaHzTXul_e_ closed CloseReason[1000] with client instance 868af4ef-3129-4428-b0a9-98f65ce1f291
[9/21/19 15:25:54:346 UTC] 00000066 SystemOut                                                    O [client: d5a56965-970e-4d82-9c89-6c863e6f687e][inter] [2977t] [Sep-21 15:25:54.346] Attempting to connect
[9/21/19 15:25:54:419 UTC] 00000066 SystemOut                                                    O [client: d5a56965-970e-4d82-9c89-6c863e6f687e][inter] [2977t] [Sep-21 15:25:54.419] Websocket session x17B8RLhOm6ZaVcndlXNs3f opened with client instance 868af4ef-3129-4428-b0a9-98f65ce1f291
[9/21/19 15:25:55:072 UTC] 00000059 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:55:074 UTC] 00000059 SystemOut                                                    O whereShouldIGo
[9/21/19 15:25:55:076 UTC] 00000059 SystemOut                                                    O Going to (277, 240)
[9/21/19 15:25:55:171 UTC] 00000092 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:55:178 UTC] 00000092 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:55:270 UTC] 00000035 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:55:379 UTC] 000000a2 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:55:475 UTC] 000000a8 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:55:576 UTC] 00000087 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:55:579 UTC] 00000087 SystemOut                                                    O Main Player HP: 100
[9/21/19 15:25:55:581 UTC] 00000087 SystemOut                                                    O Main Player Level: 1
[9/21/19 15:25:55:582 UTC] 00000087 SystemOut                                                    O Enemy Level: 3
[9/21/19 15:25:55:677 UTC] 00000093 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:55:679 UTC] 00000093 SystemOut                                                    O Main Player HP: 100
[9/21/19 15:25:55:681 UTC] 00000093 SystemOut                                                    O Main Player Level: 1
[9/21/19 15:25:55:682 UTC] 00000093 SystemOut                                                    O Enemy Level: 2
[9/21/19 15:25:55:684 UTC] 00000093 SystemOut                                                    O Attack creature!!!
[9/21/19 15:25:58:295 UTC] 000000a0 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:58:297 UTC] 000000a0 SystemOut                                                    O Main Player HP: 94
[9/21/19 15:25:58:298 UTC] 000000a0 SystemOut                                                    O Main Player Level: 1
[9/21/19 15:25:58:299 UTC] 000000a0 SystemOut                                                    O Enemy Level: 3
[9/21/19 15:25:58:301 UTC] 000000a0 SystemOut                                                    O whereShouldIGo
[9/21/19 15:25:58:302 UTC] 000000a0 SystemOut                                                    O Going to (51, 141)
[9/21/19 15:25:58:398 UTC] 000000ab SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:58:400 UTC] 000000ab SystemOut                                                    O Main Player HP: 94
[9/21/19 15:25:58:402 UTC] 000000ab SystemOut                                                    O Main Player Level: 1
[9/21/19 15:25:58:403 UTC] 000000ab SystemOut                                                    O Enemy Level: 3
[9/21/19 15:25:58:497 UTC] 00000035 SystemOut                                                    O shouldIAttackCreature
